id,name,category,description
PHL-1000,Bishop Benson Kamau,Philanthropist,"Bishop Benson Kamau is recognized for sustained charitable outreach and community support, rallying resources to uplift vulnerable families across Kenya."
PHL-1001,Erick Omondi,Philanthropist,"Erick Omondi is recognized for sustained charitable outreach and community support, rallying resources to uplift vulnerable families across Kenya."
PHL-1002,Jeremy Damaries,Philanthropist,"Jeremy Damaries is recognized for sustained charitable outreach and community support, rallying resources to uplift vulnerable families across Kenya."
PHL-1003,Kennedy Odede,Philanthropist,"Kennedy Odede is recognized for sustained charitable outreach and community support, rallying resources to uplift vulnerable families across Kenya."
PHL-1004,Shofco,Philanthropist,"Shofco is recognized for sustained charitable outreach and community support, rallying resources to uplift vulnerable families across Kenya."
PHL-1005,Dan Wema,Philanthropist,"Dan Wema is recognized for sustained charitable outreach and community support, rallying resources to uplift vulnerable families across Kenya."
PHL-1006,Moses Mwenda,Philanthropist,"Moses Mwenda is recognized for sustained charitable outreach and community support, rallying resources to uplift vulnerable families across Kenya."
PHL-1007,Ndugu Nyoro,Philanthropist,"Ndugu Nyoro is recognized for sustained charitable outreach and community support, rallying resources to uplift vulnerable families across Kenya."
PHL-1008,Gladys Muthoni Kirumba,Philanthropist,"Gladys Muthoni Kirumba is recognized for sustained charitable outreach and community support, rallying resources to uplift vulnerable families across Kenya."
PHL-1009,Dorea Chege,Philanthropist,"Dorea Chege is recognized for sustained charitable outreach and community support, rallying resources to uplift vulnerable families across Kenya."
PHL-1010,Akothee,Philanthropist,"Akothee is recognized for sustained charitable outreach and community support, rallying resources to uplift vulnerable families across Kenya."
PHL-1011,Anita Soina,Philanthropist,"Anita Soina is recognized for sustained charitable outreach and community support, rallying resources to uplift vulnerable families across Kenya."
PHL-1012,Kairetu Jenny,Philanthropist,"Kairetu Jenny is recognized for sustained charitable outreach and community support, rallying resources to uplift vulnerable families across Kenya."
PHL-1013,Vivian Onano,Philanthropist,"Vivian Onano is recognized for sustained charitable outreach and community support, rallying resources to uplift vulnerable families across Kenya."
PHL-1014,Massawe Japanni,Philanthropist,"Massawe Japanni is recognized for sustained charitable outreach and community support, rallying resources to uplift vulnerable families across Kenya."
BAM-3000,Eric Omondi,Brand Ambassador,"Eric Omondi has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3001,Njugush,Brand Ambassador,"Njugush has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3002,Muthee Ndegenye,Brand Ambassador,"Muthee Ndegenye has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3003,CEO Bruce,Brand Ambassador,"CEO Bruce has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3004,Githua Mani,Brand Ambassador,"Githua Mani has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3005,Mbote Njogu,Brand Ambassador,"Mbote Njogu has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3006,Alfred Koech –sergent,Brand Ambassador,"Alfred Koech –sergent has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3007,Jay Kahiu,Brand Ambassador,"Jay Kahiu has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3008,Roy Kanyi,Brand Ambassador,"Roy Kanyi has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3009,Eliud Kipchoge,Brand Ambassador,"Eliud Kipchoge, a global marathon icon, leverages sport and influence to uplift communities and inspire excellence."
BAM-3010,Omanyala,Brand Ambassador,"Omanyala has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3011,Kagwe Mungai,Brand Ambassador,"Kagwe Mungai has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3012,Bradley The Genz,Brand Ambassador,"Bradley The Genz has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3013,DJ Dibul,Brand Ambassador,"DJ Dibul is a standout DJ and culture shaper, known for energetic sets and audience connection."
BAM-3014,Bahati,Brand Ambassador,"Bahati has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3015,Tom Daktari,Brand Ambassador,"Tom Daktari has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3016,Baba Talisha,Brand Ambassador,"Baba Talisha has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3017,Kabugi,Brand Ambassador,"Kabugi has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3018,Godana Wako (prince Chaala),Brand Ambassador,"Godana Wako (prince Chaala) has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3019,Cobra Ambuchi,Brand Ambassador,"Cobra Ambuchi has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3020,Carol Radull,Brand Ambassador,"Carol Radull has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3021,Gladys Muthoni Wakirumba,Brand Ambassador,"Gladys Muthoni Wakirumba has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3022,Awinja Nyamwalo,Brand Ambassador,"Awinja Nyamwalo has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3023,Diana Bahati,Brand Ambassador,"Diana Bahati has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3024,Sarah Hassan,Brand Ambassador,"Sarah Hassan has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3025,Nadia Mukami,Brand Ambassador,"Nadia Mukami has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3026,It's Morin,Brand Ambassador,"It's Morin has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3027,Celestine Ndinda,Brand Ambassador,"Celestine Ndinda has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3028,Sheryl Gabriella,Brand Ambassador,"Sheryl Gabriella has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3029,Mamito,Brand Ambassador,"Mamito has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3030,Vicky Brilliance,Brand Ambassador,"Vicky Brilliance has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3031,Naomi Kuria,Brand Ambassador,"Naomi Kuria has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BAM-3032,Jantex Jerop,Brand Ambassador,"Jantex Jerop has become a trusted face for leading brands, blending authenticity with wide reach to drive relatable, value-first campaigns."
BL-2000,Alinur Mohamed,Blogger,"Alinur Mohamed publishes consistent, insightful posts that spark conversation and keep audiences informed on culture, business and everyday life."
BL-2001,Derric Mbugua,Blogger,"Derric Mbugua publishes consistent, insightful posts that spark conversation and keep audiences informed on culture, business and everyday life."
BL-2002,Cyprian Is,Blogger,"Cyprian Is publishes consistent, insightful posts that spark conversation and keep audiences informed on culture, business and everyday life."
BL-2003,Nyakundi,Blogger,"Nyakundi publishes consistent, insightful posts that spark conversation and keep audiences informed on culture, business and everyday life."
BL-2004,Ne,Blogger,"Ne publishes consistent, insightful posts that spark conversation and keep audiences informed on culture, business and everyday life."
BL-2005,Yiolo Live,Blogger,"Yiolo Live publishes consistent, insightful posts that spark conversation and keep audiences informed on culture, business and everyday life."
BL-2006,Moseax,Blogger,"Moseax publishes consistent, insightful posts that spark conversation and keep audiences informed on culture, business and everyday life."
BL-2007,Ronnie Chirchir,Blogger,"Ronnie Chirchir publishes consistent, insightful posts that spark conversation and keep audiences informed on culture, business and everyday life."
BL-2008,Diky Sleek,Blogger,"Diky Sleek publishes consistent, insightful posts that spark conversation and keep audiences informed on culture, business and everyday life."
BL-2009,Allan Ke,Blogger,"Allan Ke publishes consistent, insightful posts that spark conversation and keep audiences informed on culture, business and everyday life."
BL-2010,Alberto Nyakundi Amenya Bananapeddler,Blogger,"Alberto Nyakundi Amenya Bananapeddler publishes consistent, insightful posts that spark conversation and keep audiences informed on culture, business and everyday life."
BL-2011,Richkidd Wizzy Photography,Blogger,"Richkidd Wizzy Photography publishes consistent, insightful posts that spark conversation and keep audiences informed on culture, business and everyday life."
BL-2012,Mutai Mtandao,Blogger,"Mutai Mtandao publishes consistent, insightful posts that spark conversation and keep audiences informed on culture, business and everyday life."
BL-2013,Kimutai.co.ke,Blogger,"Kimutai.co.ke publishes consistent, insightful posts that spark conversation and keep audiences informed on culture, business and everyday life."
BL-2014,Ndungu Harun,Blogger,"Ndungu Harun publishes consistent, insightful posts that spark conversation and keep audiences informed on culture, business and everyday life."
BL-2015,Simon Mwangi Muthiora,Blogger,"Simon Mwangi Muthiora publishes consistent, insightful posts that spark conversation and keep audiences informed on culture, business and everyday life."
BL-2016,Shujaa Humphrey,Blogger,"Shujaa Humphrey publishes consistent, insightful posts that spark conversation and keep audiences informed on culture, business and everyday life."
BL-2017,Odhiambo Levin Opiyo,Blogger,"Odhiambo Levin Opiyo publishes consistent, insightful posts that spark conversation and keep audiences informed on culture, business and everyday life."
BL-2018,Jarunda Jaluth Mambobiad,Blogger,"Jarunda Jaluth Mambobiad publishes consistent, insightful posts that spark conversation and keep audiences informed on culture, business and everyday life."
BL-2019,Purity Nduta Macharia,Blogger,"Purity Nduta Macharia publishes consistent, insightful posts that spark conversation and keep audiences informed on culture, business and everyday life."
BL-2020,Irene Cheptap Oret Jepkogei,Blogger,"Irene Cheptap Oret Jepkogei publishes consistent, insightful posts that spark conversation and keep audiences informed on culture, business and everyday life."
BL-2021,Sharon Mundia,Blogger,"Sharon Mundia publishes consistent, insightful posts that spark conversation and keep audiences informed on culture, business and everyday life."
BL-2022,The Is Ess,Blogger,"The Is Ess publishes consistent, insightful posts that spark conversation and keep audiences informed on culture, business and everyday life."
BL-2023,Lucia Musau,Blogger,"Lucia Musau publishes consistent, insightful posts that spark conversation and keep audiences informed on culture, business and everyday life."
BL-2024,Joy Kendi M,Blogger,"Joy Kendi M publishes consistent, insightful posts that spark conversation and keep audiences informed on culture, business and everyday life."
BL-2025,Jeniffer C. Rono,Blogger,"Jeniffer C. Rono publishes consistent, insightful posts that spark conversation and keep audiences informed on culture, business and everyday life."
BL-2026,Maureen Bandari,Blogger,"Maureen Bandari publishes consistent, insightful posts that spark conversation and keep audiences informed on culture, business and everyday life."
CTC-4000,Mca Tricky,Content Creator,"Mca Tricky crafts engaging, high‑energy content that entertains and educates, building an active community across social platforms."
CTC-4001,Crazy Kennar,Content Creator,"Crazy Kennar crafts engaging, high‑energy content that entertains and educates, building an active community across social platforms."
CTC-4002,Arap Uria,Content Creator,"Arap Uria crafts engaging, high‑energy content that entertains and educates, building an active community across social platforms."
CTC-4003,Kufai,Content Creator,"Kufai crafts engaging, high‑energy content that entertains and educates, building an active community across social platforms."
CTC-4004,Dada Sara,Content Creator,"Dada Sara crafts engaging, high‑energy content that entertains and educates, building an active community across social platforms."
CTC-4005,Yy Comedian,Content Creator,"Yy Comedian crafts engaging, high‑energy content that entertains and educates, building an active community across social platforms."
CTC-4006,Eddie Butita,Content Creator,"Eddie Butita crafts engaging, high‑energy content that entertains and educates, building an active community across social platforms."
CTC-4007,Flaqo,Content Creator,"Flaqo crafts engaging, high‑energy content that entertains and educates, building an active community across social platforms."
CTC-4008,Terence Creative,Content Creator,"Terence Creative crafts engaging, high‑energy content that entertains and educates, building an active community across social platforms."
CTC-4009,Baruthi Wa Thayu,Content Creator,"Baruthi Wa Thayu crafts engaging, high‑energy content that entertains and educates, building an active community across social platforms."
CTC-4010,Nominee 11,Content Creator,"Nominee 11 crafts engaging, high‑energy content that entertains and educates, building an active community across social platforms."
CTC-4011,Propesa,Content Creator,"Propesa crafts engaging, high‑energy content that entertains and educates, building an active community across social platforms."
CTC-4012,Tajirimtoto,Content Creator,"Tajirimtoto crafts engaging, high‑energy content that entertains and educates, building an active community across social platforms."
CTC-4013,Vinnie Baite,Content Creator,"Vinnie Baite crafts engaging, high‑energy content that entertains and educates, building an active community across social platforms."
CTC-4014,Kadong Mwangi Comedian,Content Creator,"Kadong Mwangi Comedian crafts engaging, high‑energy content that entertains and educates, building an active community across social platforms."
CTC-4015,Mr. Mbilimbili,Content Creator,"Mr. Mbilimbili crafts engaging, high‑energy content that entertains and educates, building an active community across social platforms."
CTC-4016,Kinuthia Wanyu,Content Creator,"Kinuthia Wanyu crafts engaging, high‑energy content that entertains and educates, building an active community across social platforms."
CTC-4017,Rii (harrislon K Mburu),Content Creator,"Rii (harrislon K Mburu) crafts engaging, high‑energy content that entertains and educates, building an active community across social platforms."
CTC-4018,CEO Bruce,Content Creator,"CEO Bruce crafts engaging, high‑energy content that entertains and educates, building an active community across social platforms."
CTC-4019,Gogo Small,Content Creator,"Gogo Small crafts engaging, high‑energy content that entertains and educates, building an active community across social platforms."
CTC-4020,Senge Hellena,Content Creator,"Senge Hellena crafts engaging, high‑energy content that entertains and educates, building an active community across social platforms."
CTC-4021,Mojeje Kiazala,Content Creator,"Mojeje Kiazala crafts engaging, high‑energy content that entertains and educates, building an active community across social platforms."
CTC-4022,Nominee,Content Creator,"Nominee crafts engaging, high‑energy content that entertains and educates, building an active community across social platforms."
CTC-4023,Usefulidioty,Content Creator,"Usefulidioty crafts engaging, high‑energy content that entertains and educates, building an active community across social platforms."
CTC-4024,Smile Prince,Content Creator,"Smile Prince crafts engaging, high‑energy content that entertains and educates, building an active community across social platforms."
CTC-4025,Morin Actress,Content Creator,"Morin Actress crafts engaging, high‑energy content that entertains and educates, building an active community across social platforms."
CTC-4026,Auntie Jemimah,Content Creator,"Auntie Jemimah crafts engaging, high‑energy content that entertains and educates, building an active community across social platforms."
CTC-4027,Dem Wa Fb,Content Creator,"Dem Wa Fb crafts engaging, high‑energy content that entertains and educates, building an active community across social platforms."
CTC-4028,Husna Rose,Content Creator,"Husna Rose crafts engaging, high‑energy content that entertains and educates, building an active community across social platforms."
CTC-4029,Velma Adala,Content Creator,"Velma Adala crafts engaging, high‑energy content that entertains and educates, building an active community across social platforms."
CTC-4030,Jackie Matubia,Content Creator,"Jackie Matubia crafts engaging, high‑energy content that entertains and educates, building an active community across social platforms."
CTC-4031,Diana Bahati,Content Creator,"Diana Bahati crafts engaging, high‑energy content that entertains and educates, building an active community across social platforms."
CTC-4032,Azziad Nasenya,Content Creator,"Azziad Nasenya blends dance, fashion and lifestyle content with consistency, turning creativity into lasting community."
CTC-4033,Tess Mwaura,Content Creator,"Tess Mwaura crafts engaging, high‑energy content that entertains and educates, building an active community across social platforms."
CTC-4034,Miss Trudy,Content Creator,"Miss Trudy crafts engaging, high‑energy content that entertains and educates, building an active community across social platforms."
CTC-4035,Lynne Ngugi,Content Creator,Lynne Ngugi tells human‑centered stories that amplify unheard voices and spark meaningful dialogue.
CTC-4036,Mungai Eve,Content Creator,"Mungai Eve crafts engaging, high‑energy content that entertains and educates, building an active community across social platforms."
CTC-4037,Diana Daisy,Content Creator,"Diana Daisy crafts engaging, high‑energy content that entertains and educates, building an active community across social platforms."
CTC-4038,Gau,Content Creator,"Gau crafts engaging, high‑energy content that entertains and educates, building an active community across social platforms."
CTC-4039,Maurine Kabu,Content Creator,"Maurine Kabu crafts engaging, high‑energy content that entertains and educates, building an active community across social platforms."
CTC-4040,Mitchelle Mjaka Mfine,Content Creator,"Mitchelle Mjaka Mfine crafts engaging, high‑energy content that entertains and educates, building an active community across social platforms."
CTC-4041,Sharnize Actress,Content Creator,"Sharnize Actress crafts engaging, high‑energy content that entertains and educates, building an active community across social platforms."
CTC-4042,Just Salet,Content Creator,"Just Salet crafts engaging, high‑energy content that entertains and educates, building an active community across social platforms."
CTC-4043,Angel Atieno,Content Creator,"Angel Atieno crafts engaging, high‑energy content that entertains and educates, building an active community across social platforms."
ENT-5000,Kenjava Wakagoto,Entrepreneur,"Kenjava Wakagoto is noted for building ventures with clear impact—creating jobs, championing quality and turning bold ideas into sustainable growth."
ENT-5001,Prezzo Logistic Mouldings,Entrepreneur,"Prezzo Logistic Mouldings is noted for building ventures with clear impact—creating jobs, championing quality and turning bold ideas into sustainable growth."
ENT-5002,Murage Modern Pacific Faniture,Entrepreneur,"Murage Modern Pacific Faniture is noted for building ventures with clear impact—creating jobs, championing quality and turning bold ideas into sustainable growth."
ENT-5003,Maridady Motors Ltd,Entrepreneur,"Maridady Motors Ltd is noted for building ventures with clear impact—creating jobs, championing quality and turning bold ideas into sustainable growth."
ENT-5004,Mofarm Jm,Entrepreneur,"Mofarm Jm is noted for building ventures with clear impact—creating jobs, championing quality and turning bold ideas into sustainable growth."
ENT-5005,Mwenda Thuranira (mambo Fresh),Entrepreneur,"Mwenda Thuranira (mambo Fresh) is noted for building ventures with clear impact—creating jobs, championing quality and turning bold ideas into sustainable growth."
ENT-5006,Baruthi Wa Thayu,Entrepreneur,"Baruthi Wa Thayu is noted for building ventures with clear impact—creating jobs, championing quality and turning bold ideas into sustainable growth."
ENT-5007,Damaris Wa Dama Spares,Entrepreneur,"Damaris Wa Dama Spares is noted for building ventures with clear impact—creating jobs, championing quality and turning bold ideas into sustainable growth."
ENT-5008,Catherine Wambugu (wambugu Apples),Entrepreneur,"Catherine Wambugu (wambugu Apples) is noted for building ventures with clear impact—creating jobs, championing quality and turning bold ideas into sustainable growth."
ENT-5009,Shikuh Hi-style,Entrepreneur,"Shikuh Hi-style is noted for building ventures with clear impact—creating jobs, championing quality and turning bold ideas into sustainable growth."
ENT-5010,Betty Hamisha (muthoni),Entrepreneur,"Betty Hamisha (muthoni) is noted for building ventures with clear impact—creating jobs, championing quality and turning bold ideas into sustainable growth."
ENT-5011,Esther Muchemi,Entrepreneur,"Esther Muchemi is noted for building ventures with clear impact—creating jobs, championing quality and turning bold ideas into sustainable growth."
ENT-5012,Nana Owiti,Entrepreneur,"Nana Owiti is noted for building ventures with clear impact—creating jobs, championing quality and turning bold ideas into sustainable growth."
ENT-5013,Liz Njuguna,Entrepreneur,"Liz Njuguna is noted for building ventures with clear impact—creating jobs, championing quality and turning bold ideas into sustainable growth."
ENT-5014,Amelina Achieng,Entrepreneur,"Amelina Achieng is noted for building ventures with clear impact—creating jobs, championing quality and turning bold ideas into sustainable growth."
ENT-5015,Anerlisa Muigai,Entrepreneur,"Anerlisa Muigai is noted for building ventures with clear impact—creating jobs, championing quality and turning bold ideas into sustainable growth."
ENT-5016,Hilda Moraa,Entrepreneur,"Hilda Moraa is noted for building ventures with clear impact—creating jobs, championing quality and turning bold ideas into sustainable growth."
ENT-5017,Naisiae Naaadokila,Entrepreneur,"Naisiae Naaadokila is noted for building ventures with clear impact—creating jobs, championing quality and turning bold ideas into sustainable growth."
ENT-5018,Carole Kinoti,Entrepreneur,"Carole Kinoti is noted for building ventures with clear impact—creating jobs, championing quality and turning bold ideas into sustainable growth."
ENT-5019,Njeri Rionge,Entrepreneur,"Njeri Rionge is noted for building ventures with clear impact—creating jobs, championing quality and turning bold ideas into sustainable growth."
ENT-5020,Winjoy Kananu,Entrepreneur,"Winjoy Kananu is noted for building ventures with clear impact—creating jobs, championing quality and turning bold ideas into sustainable growth."
ENT-5021,Hon. Annastacia Muthini Muendoma,Entrepreneur,Hon. Annastacia Muthini Muendoma champions youth and community interests through public service and grassroots engagement.
ENT-5022,Esther Wakimanitv Nduku,Entrepreneur,"Esther Wakimanitv Nduku is noted for building ventures with clear impact—creating jobs, championing quality and turning bold ideas into sustainable growth."
ENT-5023,Maurine Kabu,Entrepreneur,"Maurine Kabu is noted for building ventures with clear impact—creating jobs, championing quality and turning bold ideas into sustainable growth."
YLD-6000,Hon. Babu Owino,Youth Leader,"Hon. Babu Owino amplifies youth voices and drives civic engagement, focusing on opportunity, accountability and meaningful participation."
YLD-6001,Hon. Jalango,Youth Leader,"Hon. Jalango amplifies youth voices and drives civic engagement, focusing on opportunity, accountability and meaningful participation."
YLD-6002,Hon. Ndindi Nyoro,Youth Leader,"Hon. Ndindi Nyoro amplifies youth voices and drives civic engagement, focusing on opportunity, accountability and meaningful participation."
YLD-6003,Hon. John Methu,Youth Leader,"Hon. John Methu amplifies youth voices and drives civic engagement, focusing on opportunity, accountability and meaningful participation."
YLD-6004,Hon. John Paul Mwirigi,Youth Leader,"Hon. John Paul Mwirigi amplifies youth voices and drives civic engagement, focusing on opportunity, accountability and meaningful participation."
YLD-6005,Mwangi Muchiri,Youth Leader,"Mwangi Muchiri amplifies youth voices and drives civic engagement, focusing on opportunity, accountability and meaningful participation."
YLD-6006,Hon,Youth Leader,"Hon amplifies youth voices and drives civic engagement, focusing on opportunity, accountability and meaningful participation."
YLD-6007,Peter,Youth Leader,"Peter amplifies youth voices and drives civic engagement, focusing on opportunity, accountability and meaningful participation."
YLD-6008,Kalerwa,Youth Leader,"Kalerwa amplifies youth voices and drives civic engagement, focusing on opportunity, accountability and meaningful participation."
