id,name,category,description
YLD-6009,Salasya,Youth Leader,"Salasya amplifies youth voices and drives civic engagement, focusing on opportunity, accountability and meaningful participation."
YLD-6010,Fikirini Jacobs,Youth Leader,"Fikirini Jacobs amplifies youth voices and drives civic engagement, focusing on opportunity, accountability and meaningful participation."
YLD-6011,Stephen Letoo,Youth Leader,"Stephen Letoo amplifies youth voices and drives civic engagement, focusing on opportunity, accountability and meaningful participation."
YLD-6012,Hon. Njeri Maina,Youth Leader,"Hon. Njeri Maina amplifies youth voices and drives civic engagement, focusing on opportunity, accountability and meaningful participation."
YLD-6013,Hon. Mbithe Mulinge,Youth Leader,"Hon. Mbithe Mulinge amplifies youth voices and drives civic engagement, focusing on opportunity, accountability and meaningful participation."
YLD-6014,Hon. Cynthia Muge,Youth Leader,"Hon. Cynthia Muge amplifies youth voices and drives civic engagement, focusing on opportunity, accountability and meaningful participation."
YLD-6015,Hon. Linet Toto,Youth Leader,"Hon. Linet Toto amplifies youth voices and drives civic engagement, focusing on opportunity, accountability and meaningful participation."
YLD-6016,Hon. Esther Okenyuri,Youth Leader,"Hon. Esther Okenyuri amplifies youth voices and drives civic engagement, focusing on opportunity, accountability and meaningful participation."
YLD-6017,Karen Nyamu,Youth Leader,"Karen Nyamu amplifies youth voices and drives civic engagement, focusing on opportunity, accountability and meaningful participation."
INV-7000,Sir Bonnie Brands,Innovator,"Sir Bonnie Brands develops practical, people‑centered solutions—turning fresh ideas into tools and services that solve real problems."
INV-7001,Murage Mordern Pacific,Innovator,"Murage Mordern Pacific develops practical, people‑centered solutions—turning fresh ideas into tools and services that solve real problems."
INV-7002,Brobox,Innovator,"Brobox develops practical, people‑centered solutions—turning fresh ideas into tools and services that solve real problems."
INV-7003,MC Kajim,Innovator,"MC Kajim develops practical, people‑centered solutions—turning fresh ideas into tools and services that solve real problems."
INV-7004,Hamo The Professor,Innovator,"Hamo The Professor develops practical, people‑centered solutions—turning fresh ideas into tools and services that solve real problems."
INV-7005,Tr_,Innovator,"Tr_ develops practical, people‑centered solutions—turning fresh ideas into tools and services that solve real problems."
INV-7006,Kalausi,Innovator,"Kalausi develops practical, people‑centered solutions—turning fresh ideas into tools and services that solve real problems."
INV-7007,Simon Plumbing,Innovator,"Simon Plumbing develops practical, people‑centered solutions—turning fresh ideas into tools and services that solve real problems."
INV-7008,Khoja Afrique (musanii),Innovator,"Khoja Afrique (musanii) develops practical, people‑centered solutions—turning fresh ideas into tools and services that solve real problems."
INV-7009,Dan Wema,Innovator,"Dan Wema develops practical, people‑centered solutions—turning fresh ideas into tools and services that solve real problems."
INV-7010,Elvis W,Innovator,"Elvis W develops practical, people‑centered solutions—turning fresh ideas into tools and services that solve real problems."
INV-7011,Kelly Inspiration,Innovator,"Kelly Inspiration develops practical, people‑centered solutions—turning fresh ideas into tools and services that solve real problems."
INV-7012,Presentor Kai,Innovator,"Presentor Kai develops practical, people‑centered solutions—turning fresh ideas into tools and services that solve real problems."
INV-7013,Kelsy Kerubo,Innovator,"Kelsy Kerubo develops practical, people‑centered solutions—turning fresh ideas into tools and services that solve real problems."
INV-7014,Ev Mercy Nungari,Innovator,"Ev Mercy Nungari develops practical, people‑centered solutions—turning fresh ideas into tools and services that solve real problems."
INV-7015,Mercy Maina Official,Innovator,"Mercy Maina Official develops practical, people‑centered solutions—turning fresh ideas into tools and services that solve real problems."
INV-7016,Wangeci Wa Kariuki,Innovator,"Wangeci Wa Kariuki develops practical, people‑centered solutions—turning fresh ideas into tools and services that solve real problems."
INV-7017,Luciana Creative,Innovator,"Luciana Creative develops practical, people‑centered solutions—turning fresh ideas into tools and services that solve real problems."
INV-7018,Nkatha Official,Innovator,"Nkatha Official develops practical, people‑centered solutions—turning fresh ideas into tools and services that solve real problems."
INV-7019,Ann Gatiba,Innovator,"Ann Gatiba develops practical, people‑centered solutions—turning fresh ideas into tools and services that solve real problems."
INV-7020,Njeri Wa Muigai Njoroge,Innovator,"Njeri Wa Muigai Njoroge develops practical, people‑centered solutions—turning fresh ideas into tools and services that solve real problems."
INV-7021,Wairimu Kimani,Innovator,"Wairimu Kimani develops practical, people‑centered solutions—turning fresh ideas into tools and services that solve real problems."
INV-7022,Naisiae Naadokila,Innovator,"Naisiae Naadokila develops practical, people‑centered solutions—turning fresh ideas into tools and services that solve real problems."
INV-7023,Trisha Khalid,Innovator,"Trisha Khalid develops practical, people‑centered solutions—turning fresh ideas into tools and services that solve real problems."
INV-7024,Chelaa Valleygirl,Innovator,"Chelaa Valleygirl develops practical, people‑centered solutions—turning fresh ideas into tools and services that solve real problems."
INV-7025,Betty Bayo,Innovator,"Betty Bayo develops practical, people‑centered solutions—turning fresh ideas into tools and services that solve real problems."
INV-7026,Stacy Wa Digital,Innovator,"Stacy Wa Digital develops practical, people‑centered solutions—turning fresh ideas into tools and services that solve real problems."
INV-7027,Carol Katrue,Innovator,"Carol Katrue develops practical, people‑centered solutions—turning fresh ideas into tools and services that solve real problems."
INV-7028,Maurine Kabu,Innovator,"Maurine Kabu develops practical, people‑centered solutions—turning fresh ideas into tools and services that solve real problems."
INV-7029,Diana Yegon,Innovator,"Diana Yegon develops practical, people‑centered solutions—turning fresh ideas into tools and services that solve real problems."
COM-8000,Mc-gogo,Comedian,"Mc-gogo delivers smart, relatable comedy on stage and online, using humor to connect diverse audiences and spark positive conversations."
COM-8001,Senge Hellena,Comedian,"Senge Hellena delivers smart, relatable comedy on stage and online, using humor to connect diverse audiences and spark positive conversations."
COM-8002,Gogo Small,Comedian,"Gogo Small delivers smart, relatable comedy on stage and online, using humor to connect diverse audiences and spark positive conversations."
COM-8003,Sammy Kioko Comedian,Comedian,"Sammy Kioko Comedian delivers smart, relatable comedy on stage and online, using humor to connect diverse audiences and spark positive conversations."
COM-8004,Jaymo Decin,Comedian,"Jaymo Decin delivers smart, relatable comedy on stage and online, using humor to connect diverse audiences and spark positive conversations."
COM-8005,Mojeje Kiazala,Comedian,"Mojeje Kiazala delivers smart, relatable comedy on stage and online, using humor to connect diverse audiences and spark positive conversations."
COM-8006,Kafengo,Comedian,"Kafengo delivers smart, relatable comedy on stage and online, using humor to connect diverse audiences and spark positive conversations."
COM-8007,Wilson Macharia,Comedian,"Wilson Macharia delivers smart, relatable comedy on stage and online, using humor to connect diverse audiences and spark positive conversations."
COM-8008,Ngano Comedian,Comedian,"Ngano Comedian delivers smart, relatable comedy on stage and online, using humor to connect diverse audiences and spark positive conversations."
COM-8009,Nyonjoro,Comedian,"Nyonjoro delivers smart, relatable comedy on stage and online, using humor to connect diverse audiences and spark positive conversations."
COM-8010,Murife,Comedian,"Murife delivers smart, relatable comedy on stage and online, using humor to connect diverse audiences and spark positive conversations."
COM-8011,Flaqo,Comedian,"Flaqo delivers smart, relatable comedy on stage and online, using humor to connect diverse audiences and spark positive conversations."
COM-8012,Gikonyore,Comedian,"Gikonyore delivers smart, relatable comedy on stage and online, using humor to connect diverse audiences and spark positive conversations."
COM-8013,Vinnie Baite,Comedian,"Vinnie Baite delivers smart, relatable comedy on stage and online, using humor to connect diverse audiences and spark positive conversations."
COM-8014,15. Kartelo Official,Comedian,"15. Kartelo Official delivers smart, relatable comedy on stage and online, using humor to connect diverse audiences and spark positive conversations."
COM-8015,16. Hilarious Auraa,Comedian,"16. Hilarious Auraa delivers smart, relatable comedy on stage and online, using humor to connect diverse audiences and spark positive conversations."
COM-8016,17. Wilson Macharia,Comedian,"17. Wilson Macharia delivers smart, relatable comedy on stage and online, using humor to connect diverse audiences and spark positive conversations."
COM-8017,18. Culture Productions,Comedian,"18. Culture Productions delivers smart, relatable comedy on stage and online, using humor to connect diverse audiences and spark positive conversations."
COM-8018,19. Mato Comedian,Comedian,"19. Mato Comedian delivers smart, relatable comedy on stage and online, using humor to connect diverse audiences and spark positive conversations."
COM-8019,20. Luo Sponsor (mr Principal),Comedian,"20. Luo Sponsor (mr Principal) delivers smart, relatable comedy on stage and online, using humor to connect diverse audiences and spark positive conversations."
COM-8020,21. Kadong Mwangi Comedian,Comedian,"21. Kadong Mwangi Comedian delivers smart, relatable comedy on stage and online, using humor to connect diverse audiences and spark positive conversations."
COM-8021,22. Wanga Comedy,Comedian,"22. Wanga Comedy delivers smart, relatable comedy on stage and online, using humor to connect diverse audiences and spark positive conversations."
COM-8022,Nasra,Comedian,"Nasra delivers smart, relatable comedy on stage and online, using humor to connect diverse audiences and spark positive conversations."
COM-8023,Jemutai,Comedian,"Jemutai delivers smart, relatable comedy on stage and online, using humor to connect diverse audiences and spark positive conversations."
COM-8024,Wanjiru Claire Funs,Comedian,"Wanjiru Claire Funs delivers smart, relatable comedy on stage and online, using humor to connect diverse audiences and spark positive conversations."
COM-8025,Mamito Eunice,Comedian,"Mamito Eunice delivers smart, relatable comedy on stage and online, using humor to connect diverse audiences and spark positive conversations."
COM-8026,Wajoy,Comedian,"Wajoy delivers smart, relatable comedy on stage and online, using humor to connect diverse audiences and spark positive conversations."
COM-8027,Auntie Jemimah,Comedian,"Auntie Jemimah delivers smart, relatable comedy on stage and online, using humor to connect diverse audiences and spark positive conversations."
CCH-9000,Geoffrey Mosiria,Community Champion,Geoffrey Mosiria leads grassroots initiatives that meet everyday needs—from education to livelihoods—quietly moving communities forward.
CCH-9001,Father Kinyua’s Online,Community Champion,Father Kinyua’s Online leads grassroots initiatives that meet everyday needs—from education to livelihoods—quietly moving communities forward.
CCH-9002,Sammy Ondimu Ngare,Community Champion,Sammy Ondimu Ngare leads grassroots initiatives that meet everyday needs—from education to livelihoods—quietly moving communities forward.
CCH-9003,Morara Kebaso,Community Champion,Morara Kebaso leads grassroots initiatives that meet everyday needs—from education to livelihoods—quietly moving communities forward.
CCH-9004,Kururia TV,Community Champion,Kururia TV leads grassroots initiatives that meet everyday needs—from education to livelihoods—quietly moving communities forward.
CCH-9005,Elvis W,Community Champion,Elvis W leads grassroots initiatives that meet everyday needs—from education to livelihoods—quietly moving communities forward.
CCH-9006,7. Ken The Farmer,Community Champion,7. Ken The Farmer leads grassroots initiatives that meet everyday needs—from education to livelihoods—quietly moving communities forward.
CCH-9007,8. Nelson Mike Mithamo Muriuki,Community Champion,8. Nelson Mike Mithamo Muriuki leads grassroots initiatives that meet everyday needs—from education to livelihoods—quietly moving communities forward.
CCH-9008,Voo TV,Community Champion,Voo TV leads grassroots initiatives that meet everyday needs—from education to livelihoods—quietly moving communities forward.
CCH-9009,9. Teacher Mungai,Community Champion,9. Teacher Mungai leads grassroots initiatives that meet everyday needs—from education to livelihoods—quietly moving communities forward.
CCH-9010,10. Tom Daktari,Community Champion,10. Tom Daktari leads grassroots initiatives that meet everyday needs—from education to livelihoods—quietly moving communities forward.
CCH-9011,11. Dan Wema,Community Champion,11. Dan Wema leads grassroots initiatives that meet everyday needs—from education to livelihoods—quietly moving communities forward.
CCH-9012,Shiksha Arora,Community Champion,Shiksha Arora leads grassroots initiatives that meet everyday needs—from education to livelihoods—quietly moving communities forward.
CCH-9013,Wanja Nyarari Rose,Community Champion,Wanja Nyarari Rose leads grassroots initiatives that meet everyday needs—from education to livelihoods—quietly moving communities forward.
CCH-9014,Rev. Joy Benson,Community Champion,Rev. Joy Benson leads grassroots initiatives that meet everyday needs—from education to livelihoods—quietly moving communities forward.
CCH-9015,Tr. Cillah,Community Champion,Tr. Cillah leads grassroots initiatives that meet everyday needs—from education to livelihoods—quietly moving communities forward.
CCH-9016,Wanjiku Stephens,Community Champion,Wanjiku Stephens leads grassroots initiatives that meet everyday needs—from education to livelihoods—quietly moving communities forward.
CCH-9017,Teacher Marion Mukenyi,Community Champion,Teacher Marion Mukenyi leads grassroots initiatives that meet everyday needs—from education to livelihoods—quietly moving communities forward.
CCH-9018,Hon. Sharleen Wambui Maina (shar),Community Champion,Hon. Sharleen Wambui Maina (shar) champions youth and community interests through public service and grassroots engagement.
CCH-9019,Karigithinji,Community Champion,Karigithinji leads grassroots initiatives that meet everyday needs—from education to livelihoods—quietly moving communities forward.
CCH-9020,Rehema Kiteto,Community Champion,Rehema Kiteto leads grassroots initiatives that meet everyday needs—from education to livelihoods—quietly moving communities forward.
CCH-9021,Diana Daisy,Community Champion,Diana Daisy leads grassroots initiatives that meet everyday needs—from education to livelihoods—quietly moving communities forward.
CCH-9022,Gau,Community Champion,Gau leads grassroots initiatives that meet everyday needs—from education to livelihoods—quietly moving communities forward.
CCH-9023,Lynn Ngugi,Community Champion,Lynn Ngugi tells human‑centered stories that amplify unheard voices and spark meaningful dialogue.
INF-9100,Baba Talisha,Influencer,"Baba Talisha uses a strong digital voice to inform and inspire, shaping conversations with credible storytelling and community impact."
INF-9101,Dr. Ofweneke,Influencer,"Dr. Ofweneke drives lively entertainment and topical conversations, using media platforms to inform and uplift audiences."
INF-9102,Oga Obinna,Influencer,"Oga Obinna drives lively entertainment and topical conversations, using media platforms to inform and uplift audiences."
INF-9103,Tom Daktari,Influencer,"Tom Daktari uses a strong digital voice to inform and inspire, shaping conversations with credible storytelling and community impact."
INF-9104,Hamo The Proffesor,Influencer,"Hamo The Proffesor uses a strong digital voice to inform and inspire, shaping conversations with credible storytelling and community impact."
INF-9105,Sandra Dacha,Influencer,"Sandra Dacha uses a strong digital voice to inform and inspire, shaping conversations with credible storytelling and community impact."
INF-9106,Wanja Mwaura,Influencer,"Wanja Mwaura uses a strong digital voice to inform and inspire, shaping conversations with credible storytelling and community impact."
INF-9107,Triza Mamake Muraya,Influencer,"Triza Mamake Muraya uses a strong digital voice to inform and inspire, shaping conversations with credible storytelling and community impact."
INF-9108,Lulu Hassan,Influencer,"Lulu Hassan uses a strong digital voice to inform and inspire, shaping conversations with credible storytelling and community impact."
INF-9109,Dr. Regina King’ori CPA-K,Influencer,"Dr. Regina King’ori CPA-K uses a strong digital voice to inform and inspire, shaping conversations with credible storytelling and community impact."
INF-9110,Naomi Kuria,Influencer,"Naomi Kuria uses a strong digital voice to inform and inspire, shaping conversations with credible storytelling and community impact."
INF-9111,Ecrene Madaga,Influencer,"Ecrene Madaga uses a strong digital voice to inform and inspire, shaping conversations with credible storytelling and community impact."
INF-9112,Milly Chebby,Influencer,"Milly Chebby uses a strong digital voice to inform and inspire, shaping conversations with credible storytelling and community impact."
DJ-9200,Djmokenya,DJ,"Djmokenya energizes crowds with thoughtful selections and seamless mixes, keeping dancefloors and airwaves engaged."
DJ-9201,DJ Macdee Top MC,DJ,"DJ Macdee Top MC energizes crowds with thoughtful selections and seamless mixes, keeping dancefloors and airwaves engaged."
DJ-9202,DJ Dibul,DJ,"DJ Dibul energizes crowds with thoughtful selections and seamless mixes, keeping dancefloors and airwaves engaged."
DJ-9203,DJ Sofia Macharia,DJ,"DJ Sofia Macharia energizes crowds with thoughtful selections and seamless mixes, keeping dancefloors and airwaves engaged."
DJ-9204,DJ Nyc Kenya,DJ,"DJ Nyc Kenya energizes crowds with thoughtful selections and seamless mixes, keeping dancefloors and airwaves engaged."
DJ-9205,DJ Sonnie M,DJ,"DJ Sonnie M energizes crowds with thoughtful selections and seamless mixes, keeping dancefloors and airwaves engaged."
DJ-9206,DJ Slim 254,DJ,"DJ Slim 254 energizes crowds with thoughtful selections and seamless mixes, keeping dancefloors and airwaves engaged."
POD-9300,MC Kogi Investor,Podcast,"MC Kogi Investor hosts compelling conversations that inform, challenge and entertain, making complex topics accessible to everyday listeners."
POD-9301,Guka Wa Nyumba Kumi,Podcast,"Guka Wa Nyumba Kumi hosts compelling conversations that inform, challenge and entertain, making complex topics accessible to everyday listeners."
POD-9302,Jeff Kuria,Podcast,"Jeff Kuria hosts compelling conversations that inform, challenge and entertain, making complex topics accessible to everyday listeners."
POD-9303,Paxson Chege Ngunya,Podcast,"Paxson Chege Ngunya hosts compelling conversations that inform, challenge and entertain, making complex topics accessible to everyday listeners."
POD-9304,Lynne Ngugi,Podcast,Lynne Ngugi tells human‑centered stories that amplify unheard voices and spark meaningful dialogue.
POD-9305,Mic Cheque,Podcast,"Mic Cheque hosts compelling conversations that inform, challenge and entertain, making complex topics accessible to everyday listeners."
POD-9306,The Messy In Between,Podcast,"The Messy In Between hosts compelling conversations that inform, challenge and entertain, making complex topics accessible to everyday listeners."
POD-9307,By The Way,Podcast,"By The Way hosts compelling conversations that inform, challenge and entertain, making complex topics accessible to everyday listeners."
FBP-9400,Sikika Road Safety,Facebook Page,"Sikika Road Safety keeps followers updated with timely stories, verified information and active community engagement."
FBP-9401,Tuko.co.ke,Facebook Page,"Tuko.co.ke keeps followers updated with timely stories, verified information and active community engagement."
FBP-9402,Kenyans.co.ke,Facebook Page,"Kenyans.co.ke keeps followers updated with timely stories, verified information and active community engagement."
FBP-9403,Mwago Wa Mugikuyu,Facebook Page,"Mwago Wa Mugikuyu keeps followers updated with timely stories, verified information and active community engagement."
FBP-9404,Dmk Media Group,Facebook Page,"Dmk Media Group keeps followers updated with timely stories, verified information and active community engagement."
FBP-9405,7 News Global,Facebook Page,"7 News Global keeps followers updated with timely stories, verified information and active community engagement."
FBP-9406,Nairobi Gossip Club,Facebook Page,"Nairobi Gossip Club keeps followers updated with timely stories, verified information and active community engagement."
FBP-9407,Pulse Kenya,Facebook Page,"Pulse Kenya keeps followers updated with timely stories, verified information and active community engagement."
FBP-9408,Malema TV,Facebook Page,"Malema TV keeps followers updated with timely stories, verified information and active community engagement."
TTK-9500,MC Exdus,TikToker,"MC Exdus creates viral, short‑form videos that blend creativity and consistency, turning everyday moments into shareable stories."
TTK-9501,King Of Hearts,TikToker,"King Of Hearts creates viral, short‑form videos that blend creativity and consistency, turning everyday moments into shareable stories."
TTK-9502,Gitahiga Wa Chai,TikToker,"Gitahiga Wa Chai creates viral, short‑form videos that blend creativity and consistency, turning everyday moments into shareable stories."
TTK-9503,Dreamchaser,TikToker,"Dreamchaser creates viral, short‑form videos that blend creativity and consistency, turning everyday moments into shareable stories."
TTK-9504,MC Bull,TikToker,"MC Bull creates viral, short‑form videos that blend creativity and consistency, turning everyday moments into shareable stories."
TTK-9505,Kadong Mwangi Comedian,TikToker,"Kadong Mwangi Comedian creates viral, short‑form videos that blend creativity and consistency, turning everyday moments into shareable stories."
TTK-9506,Moya David,TikToker,"Moya David creates viral, short‑form videos that blend creativity and consistency, turning everyday moments into shareable stories."
TTK-9507,Michael Bundi,TikToker,"Michael Bundi creates viral, short‑form videos that blend creativity and consistency, turning everyday moments into shareable stories."
TTK-9508,Vick Brandon,TikToker,"Vick Brandon creates viral, short‑form videos that blend creativity and consistency, turning everyday moments into shareable stories."
TTK-9509,Dennis Ombachi,TikToker,"Dennis Ombachi creates viral, short‑form videos that blend creativity and consistency, turning everyday moments into shareable stories."
TTK-9510,Onlylitboy,TikToker,"Onlylitboy creates viral, short‑form videos that blend creativity and consistency, turning everyday moments into shareable stories."
TTK-9511,Flaqo,TikToker,"Flaqo creates viral, short‑form videos that blend creativity and consistency, turning everyday moments into shareable stories."
TTK-9512,Just Totally Random (male),TikToker,"Just Totally Random (male) creates viral, short‑form videos that blend creativity and consistency, turning everyday moments into shareable stories."
TTK-9513,Crazy Kennar,TikToker,"Crazy Kennar creates viral, short‑form videos that blend creativity and consistency, turning everyday moments into shareable stories."
TTK-9514,Garissa Boys Comedian,TikToker,"Garissa Boys Comedian creates viral, short‑form videos that blend creativity and consistency, turning everyday moments into shareable stories."
TTK-9515,Colloblue_udc,TikToker,"Colloblue_udc creates viral, short‑form videos that blend creativity and consistency, turning everyday moments into shareable stories."
TTK-9516,Tomezz Martommy,TikToker,"Tomezz Martommy creates viral, short‑form videos that blend creativity and consistency, turning everyday moments into shareable stories."
TTK-9517,Junior Comedian,TikToker,"Junior Comedian creates viral, short‑form videos that blend creativity and consistency, turning everyday moments into shareable stories."
TTK-9518,Njugush,TikToker,"Njugush creates viral, short‑form videos that blend creativity and consistency, turning everyday moments into shareable stories."
TTK-9519,,TikToker," creates viral, short‑form videos that blend creativity and consistency, turning everyday moments into shareable stories."
TTK-9520,Azziad Nasenya,TikToker,"Azziad Nasenya blends dance, fashion and lifestyle content with consistency, turning creativity into lasting community."
TTK-9521,Trisha Khalid,TikToker,"Trisha Khalid creates viral, short‑form videos that blend creativity and consistency, turning everyday moments into shareable stories."
TTK-9522,Alma Mutheu,TikToker,"Alma Mutheu creates viral, short‑form videos that blend creativity and consistency, turning everyday moments into shareable stories."
TTK-9523,Swiry Nyar Kano,TikToker,"Swiry Nyar Kano creates viral, short‑form videos that blend creativity and consistency, turning everyday moments into shareable stories."
TTK-9524,Wabosha Maxine,TikToker,"Wabosha Maxine creates viral, short‑form videos that blend creativity and consistency, turning everyday moments into shareable stories."
TTK-9525,Elsa Majimbo,TikToker,"Elsa Majimbo creates viral, short‑form videos that blend creativity and consistency, turning everyday moments into shareable stories."
TTK-9526,Azz_iad,TikToker,"Azz_iad creates viral, short‑form videos that blend creativity and consistency, turning everyday moments into shareable stories."
TTK-9527,girls_panties,TikToker,"girls_panties creates viral, short‑form videos that blend creativity and consistency, turning everyday moments into shareable stories."
TTK-9528,The Real Queen,TikToker,"The Real Queen creates viral, short‑form videos that blend creativity and consistency, turning everyday moments into shareable stories."
TTK-9529,Mama Kenia,TikToker,"Mama Kenia creates viral, short‑form videos that blend creativity and consistency, turning everyday moments into shareable stories."
TTK-9530,Tr_kalausi,TikToker,"Tr_kalausi creates viral, short‑form videos that blend creativity and consistency, turning everyday moments into shareable stories."
TTK-9531,Alberta Nasieku,TikToker,"Alberta Nasieku creates viral, short‑form videos that blend creativity and consistency, turning everyday moments into shareable stories."
TTK-9532,Peris Kagiri,TikToker,"Peris Kagiri creates viral, short‑form videos that blend creativity and consistency, turning everyday moments into shareable stories."
TTK-9533,Fina (Saarrafina),TikToker,"Fina (Saarrafina) creates viral, short‑form videos that blend creativity and consistency, turning everyday moments into shareable stories."
